遗址名称,关系类型,关系名称,主体,主体类型,客体,客体类型,页码,置信度,上下文
"偃师二里头","REL_UNIT_EXCAVATES","出土","D2","遗迹编号","饰","ocr",10,0.6,"12B 东辟地层谢面图pe D4) V D2 南 TL 西壁地层剖面图.pe(25) 及陶器pe(4"
"偃师二里头","REL_SITE_ERA","年代为","偃师二里头","遗址名称","二里头文化","年代",10,0.5,"D =  de FSI El  中原地区二里头文化遗址分布平面图(3) 二里头遗址位置示意"
"偃师二里头","REL_UNIT_TYPE","类型为","T24","遗迹编号","灰坑","遗迹类型",10,0.65,"陶器分期图.pp(34) 二里头文化一期灰坑平 .剖面图.py(40) FAL OA"
"偃师二里头","REL_UNIT_TYPE","类型为","D4","遗迹编号","灰坑","遗迹类型",10,0.65,"陶器分期图.pp(34) 二里头文化一期灰坑平 .剖面图.py(40) FAL OA"
"偃师二里头","REL_UNIT_TYPE","类型为","D2","遗迹编号","灰坑","遗迹类型",10,0.65,"陶器分期图.pp(34) 二里头文化一期灰坑平 .剖面图.py(40) FAL OA"
"偃师二里头","REL_SITE_CONTAINS","包含","偃师二里头","遗址名称","K10","遗迹编号",11,0.7,") Cc(77) HSL AL SIV K10 SE PA vec ce cece e"
"偃师二里头","REL_SITE_CONTAINS","包含","偃师二里头","遗址名称","M18","遗迹编号",11,0.7,"(122) — Bak wth FAV M18 平面图cece ccatvensncn"
"偃师二里头","REL_SITE_CONTAINS","包含","偃师二里头","遗址名称","M8","遗迹编号",11,0.7,"(124) — sk 4h HA IV M8 平面图和入入村和相生 相生生全生生生生"
"偃师二里头","REL_UNIT_EXCAVATES","出土","K10","遗迹编号","盆","ocr",11,0.6,") Cc(77) HSL AL SIV K10 SE PA vec ce cece e  Ae:(1"
"偃师二里头","REL_UNIT_EXCAVATES","出土","K10","遗迹编号","陶尊","ocr",11,0.6,") Cc(77) HSL AL SIV K10 SE PA vec ce cece e eses(1"
